 Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2,Activity_Name
139559,45567,8773,17471,24624,6556,2584,11550,Stationary
444535,99703,5699,22056,43233,5919,5422,11393,Stationary
194551,135641,22018,21954,26301,6838,5853,18788,Stationary
44358,65511,4610,1958,3623,10555,5731,9016,Stationary
35560,14786,1089,4297,4020,1390,2699,3831,Stationary
102978,39628,1795,2808,4602,4356,1209,2812,Stationary
612375,100998,19267,18902,15198,21613,9529,12111,Stationary
100102,9309,7601,3599,2605,4976,1271,4491,Stationary
4043,21502,2852,929,3216,2895,1221,698,Stationary
1392195,201865,32314,19425,12570,10177,5614,4414,Stationary
1112715,29079,25337,9863,11597,7546,5489,3203,Stationary
398847,9288,4129,1743,625,2864,556,1286,Stationary
155453,39878,26023,6345,4256,11960,6525,13508,Stationary
12266,16464,31627,9551,4077,11950,5803,12980,Stationary
106814,27863,31163,3413,9914,11038,3307,12887,Stationary
17136,65130,23371,34568,21642,11804,9956,11594,Stationary
82746,9802,506,1037,2250,3778,2327,2975,Stationary
457653,24240,22216,11037,6998,11962,11835,10856,Stationary
95059,12917,2364,2711,5751,2797,3191,3245,Stationary
472385,55711,1191,1602,10025,8319,5176,12285,Stationary
82897,1991,6181,4818,2169,3872,2259,4882,Stationary
56973,5774,706,616,927,603,932,534,Stationary
57828,15146,6682,2720,5046,3821,2015,3131,Stationary
362542,30457,2661,50482,15717,5853,17220,7409,Stationary
952607,90546,58663,5680,9942,12768,4985,9345,Stationary
110484,11316,1385,4573,1371,2543,2907,2038,Stationary
16985,8355,10796,8028,11840,9307,5710,9823,Stationary
263325,189491,14388,2988,7193,3224,11243,14378,Stationary
302212,70713,2690,5991,8913,20875,4321,7352,Stationary
652508,101868,6827,8231,18326,8654,10211,15801,Stationary
29870,13423,3319,4170,6543,8883,6557,9621,Stationary
1858313,39180,16616,49086,19611,27709,19015,12427,Stationary
758576,119661,95497,21517,15573,13380,8123,11094,Stationary
4062,10743,2485,3471,12340,9543,7515,7893,Stationary
310540,25828,9038,6175,4840,2890,1253,1438,Stationary
98746,19983,7315,11480,6595,7916,7796,10995,Stationary
277444,195008,19811,23776,16789,17747,10126,9001,Stationary
650478,82193,17796,9116,9082,3176,3161,2056,Stationary
441058,47531,18456,4270,6611,15898,15751,9609,Stationary
47039,14930,2989,2174,5810,2559,1622,1310,Stationary
101433,52308,19188,2318,2064,949,743,2572,Stationary
26198,6610,16783,23967,8928,9997,9539,8801,Stationary
219098,63454,22050,5486,21522,12110,9043,3542,Stationary
70284,11151,1153,3377,1509,3894,1028,2991,Stationary
7272,16264,7785,5290,7099,10056,4847,8982,Stationary
79260,3880,1542,3785,5281,2467,3392,1067,Stationary
119133,36587,4938,5375,4799,6018,1777,1033,Stationary
86807,15067,13564,4462,14039,12142,8811,4706,Stationary
5431,5408,5587,11334,22678,12590,6038,7445,Stationary
182801,68848,18882,26327,6304,7927,6074,8099,Stationary
17863,12165,4797,8410,2981,13354,6676,9104,Stationary
93245,33259,9257,5299,2095,4524,1299,2441,Stationary
59024,54372,26122,6460,7201,6281,1408,1720,Stationary
240929,108327,128002,7296,9526,16399,6467,6447,Stationary
297393,9024,5438,2628,1515,2819,2491,2024,Stationary
104058,41350,31982,14324,10780,12579,2977,6354,Stationary
137842,36396,28439,7550,8719,5862,18065,4232,Stationary
53539,56710,60487,14386,13796,12107,9634,6375,Stationary
228510,60475,38316,26305,10969,16909,8348,12362,Stationary
159095,5423,2707,1928,9090,3088,1203,1277,Stationary
94719,31237,26054,2772,2537,3308,1295,2021,Stationary
125710,14606,4167,2337,4028,4587,2124,1520,Stationary
9219,10110,18088,9891,24062,7685,7415,5215,Stationary
107168,37917,12026,4737,5268,1945,2444,1839,Stationary
447088,31745,5560,3398,6526,6870,2163,875,Stationary
189743,18577,14473,7286,18196,11979,14626,5145,Stationary
293755,49000,7277,958,982,1845,2227,1383,Stationary
20382,15899,5754,6549,8265,6816,8933,3404,Stationary
93878,14624,5464,3077,4238,3765,1352,1807,Stationary
36702,11765,31074,11957,16563,8001,10544,4127,Stationary
122118,72081,4760,3027,9053,8196,8918,5641,Stationary
351061,23225,3933,2750,1809,2972,1543,1878,Stationary
397221,106935,52492,10771,4527,20458,6913,7265,Stationary
71110,11719,4157,4501,1177,2699,2770,1246,Stationary
116325,31291,70782,5133,5048,8363,7478,3950,Stationary
73818,27616,1055,8152,1884,2415,3185,1799,Stationary
686418,393189,78282,43706,67288,30364,9339,8910,Stationary
309445,66686,25621,35675,18524,19598,15572,8195,Stationary
