 time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2,Activity_Name
5,852296,1174005,13895,31914,33515,28454,30290,17683,00_climbing and going down stairs.csv
6,183511,72393,40562,11919,8130,12679,3455,1316,00_climbing and going down stairs.csv
7,842776,93302,40989,11661,5804,7385,11691,2240,00_climbing and going down stairs.csv
8,73942,49816,471,7239,12778,2654,1752,611,00_climbing and going down stairs.csv
9,75131,40052,40111,15599,71537,7763,5259,1198,00_climbing and going down stairs.csv
10,189991,152211,41250,25150,25560,17781,5577,2019,00_climbing and going down stairs.csv
11,1113565,229653,109451,83274,161981,38280,19900,7469,00_climbing and going down stairs.csv
12,552368,256357,111059,43850,10993,30575,8952,2795,00_climbing and going down stairs.csv
13,430940,184523,20613,48664,42567,45209,7670,6908,00_climbing and going down stairs.csv
14,320319,193565,52896,15682,55345,15021,10386,8412,00_climbing and going down stairs.csv
15,666546,20882,15844,10231,5782,4856,1535,1055,00_climbing and going down stairs.csv
16,631981,184374,85229,35199,51067,18278,17389,3443,00_climbing and going down stairs.csv
17,265235,96035,16433,35527,21511,7448,4153,1135,00_climbing and going down stairs.csv
18,79667,6749,59,3111,1175,919,314,243,00_climbing and going down stairs.csv
19,77779,320283,10488,37604,52107,23951,15250,4815,00_climbing and going down stairs.csv
20,292061,35811,9885,10453,4870,6278,4214,1024,00_climbing and going down stairs.csv
21,1445496,169171,154369,36648,21024,7828,6301,1283,00_climbing and going down stairs.csv
22,229354,25982,24907,2253,4752,5183,1797,1048,00_climbing and going down stairs.csv
23,341589,61250,4994,2422,7948,2593,14975,2408,00_climbing and going down stairs.csv
24,1287060,52102,17951,4725,13574,9406,4844,2225,00_climbing and going down stairs.csv
25,973094,977048,20452,80713,61365,87347,24489,14479,00_climbing and going down stairs.csv
28,1836735,18333,11758,5861,32398,9158,3362,725,00_climbing and going down stairs.csv
30,516279,535878,59768,66201,42904,82821,36675,14908,00_climbing and going down stairs.csv
32,519442,79433,13388,11036,6483,10542,4142,1476,00_climbing and going down stairs.csv
33,872470,14566,11060,11054,14091,4987,3007,440,00_climbing and going down stairs.csv
34,691567,46219,29204,20351,15248,9403,3892,761,00_climbing and going down stairs.csv
35,392265,21538,4299,5173,3270,2694,368,279,00_climbing and going down stairs.csv
36,1114325,107905,22864,5430,10406,15092,2654,3360,00_climbing and going down stairs.csv
37,549499,296774,30111,63640,49813,21123,48858,3828,00_climbing and going down stairs.csv
38,722262,38049,5844,22123,10785,7839,7199,3174,00_climbing and going down stairs.csv
39,1800823,259958,120222,86830,76225,30853,16984,8280,00_climbing and going down stairs.csv
40,1862939,1365317,145158,89006,120329,92933,54314,13436,00_climbing and going down stairs.csv
43,807659,318807,50237,21232,29122,28383,8755,4156,00_climbing and going down stairs.csv
44,945950,45854,49336,37931,93285,18971,7074,3305,00_climbing and going down stairs.csv
47,371184,47383,15204,24353,20025,11213,2290,414,00_climbing and going down stairs.csv
48,192313,102207,10583,31655,17238,9524,1293,1729,00_climbing and going down stairs.csv
49,1045071,548006,38797,119485,125723,348793,47865,13097,00_climbing and going down stairs.csv
50,406190,58132,10985,11956,22244,9880,2679,1711,00_climbing and going down stairs.csv
51,1354544,296253,337910,253850,53219,164436,29392,8226,00_climbing and going down stairs.csv
52,270989,39554,10424,5611,2989,3525,1294,346,00_climbing and going down stairs.csv
